Model,Exec model,Mode,Pretrained,CLS,Trained,Train pearson,Val pearson,Test pearson,Train spearman,Val spearman,Test spearman
Random,4,embeddings,False,True,True,0.05739334197101935,0.029541118487556785,0.057626064440432154,0.04936485915978052,0.054243154218844236,0.06787275810385673
Onehot,7,onehot,True,True,True,-0.018477099349363237,-0.051301753528921856,0.047186354227141764,-0.03179874353171492,-0.05316310881844379,0.05440946420536615
Roberta finetuned cls,2,roberta-hugging,True,True,True,0.40790159199897874,0.13131705178346267,0.04695456954690603,0.4361459442449923,0.13571991266219238,0.06582876171968892
Word2vec propi tfidf,7,tfidf,True,True,True,0.05030704972619231,0.06633079654083888,0.03141597226144331,0.04661354950319567,0.05094615018759709,0.026908314264327673
Word2vec 500 tfidf,7,tfidf,True,True,True,0.04633667026766097,-0.10760800400229129,0.025730258005445976,0.031047039321738926,-0.12616791764793495,0.011929838688113766
Word2vec nlpl tfidf,7,tfidf,True,True,True,-0.044242732495817914,-0.09826848161223936,0.024845110135500323,-0.057991736092010325,-0.1084243600543025,0.008995953611634565
Initialized w2v propi notrain,4,embeddings,True,True,False,0.044543872887185906,0.08110011141433104,0.0052348860038487245,0.043457371068174204,0.057415144338981455,0.001794205926369532
Initialized w2v propi notrain,7,embeddings,True,True,False,0.07604525635419067,0.13025436073460217,0.0032330358194249016,0.04567337222731758,0.08584783461238293,-0.018649762564113142
Roberta finetuned mean,7,roberta-hugging,True,False,True,0.3265519102954981,0.08643525732214616,-0.008662387596047434,0.28252125936218864,0.07755033662799912,-0.046841622135022666
Initialized w2v propi,4,embeddings,True,True,True,-0.01800789544994641,0.023785880742913466,-0.010022638537875446,-0.011397477808986187,0.02327636801772541,0.02371961813180086
Word2vec nlpl mean,7,mean,True,True,True,-0.024155262508988185,0.027148375373366458,-0.011769483526596906,-0.012343363338141145,0.01620094115574266,-0.011247614388137797
Word2vec 100 mean,7,mean,True,True,True,0.01272005024508434,-0.0815044240251929,-0.012596113972056724,0.023189137629615292,-0.06843465835995742,-0.019822303304386748
Word2vec ccca300 tfidf,7,tfidf,True,True,True,0.05113650252500516,-0.002271659287630569,-0.015973123658520393,0.05426397813887965,-0.016087410464177866,-0.04812150820323683
Word2vec ccca300 mean,7,mean,True,True,True,0.08230345050349988,-0.03167225589725092,-0.019422568243163,0.06218543139585901,-0.002320720643052305,0.0019397903295715348
Word2vec 100 tfidf,7,tfidf,True,True,True,-0.03851680519142661,-0.10857463544671728,-0.02063178281720492,-0.036782477439492305,-0.10929854884093526,-0.02251409528119301
Roberta finetuned cls,7,roberta-hugging,True,True,True,-0.3956423069735072,-0.1283009532591064,-0.0312130690548702,-0.42768974011901995,-0.13041315042271534,-0.04956018189135174
Word2vec 1000 tfidf,7,tfidf,True,True,True,-0.034229513263934794,0.02408074132851761,-0.04094544350796452,0.004813883918861421,0.02574731178492327,-0.0216108398232083
Initialized ccca300 notrain,4,embeddings,True,True,False,-0.05216085557269793,-0.0010126636106287251,-0.05235062695135764,-0.04459670907264845,0.02287786529975335,-0.04058928967157983
Word2vec propi mean,7,mean,True,True,True,0.051057163518137785,0.08132054203338379,-0.06459400281120234,0.047044375438756225,0.08204394157560763,-0.07422812891595286
Random v2,4,embeddings,False,True,False,0.05343280297451473,0.033021034231027216,-0.06886317486105847,0.07257220390775661,0.012573282175492508,-0.03884111774642131
Initialized ccca300,4,embeddings,True,True,True,-0.0036738668634956036,0.051841759400199555,-0.07235157251764202,-0.009549709326047328,0.06187804636948968,-0.07521506964368385
Roberta mean,7,roberta,True,False,True,-0.009527459600198874,0.0236957197714954,-0.07694515608944355,-0.013579774093323475,0.012371355139088748,-0.06904870321554753
Roberta cls,5,roberta,True,True,True,-0.06406633525175717,-0.038692234936059194,-0.08436401175650066,0.049481472272267624,0.05189865262257953,0.07482320149326185
Initialized w2v propi,7,embeddings,True,True,True,-0.08107187293910804,-0.069152915458572,-0.11260907861735237,-0.08827806285905421,-0.07227620966688876,-0.10862093677751637
Roberta finetuned mean,4,roberta-hugging,True,False,True,0.005280967873307141,-0.01959315659643979,-0.125904620404559,-0.08071464400527156,-0.12679722672711582,-0.22884161202481587
Word2vec 1000 mean,7,mean,True,True,True,-0.029505487287529563,-0.005745615891072347,-0.13549694251265154,-0.016051800761499268,0.024780916734612225,-0.12127106283007287
Roberta finetuned mean,5,roberta-hugging,True,False,True,-0.0832769860960351,-0.10564165224341157,-0.19148606668986573,-0.14494888871272082,-0.15260701540558483,-0.23065233836664842
Roberta 0 cls,4,roberta2,True,True,True,-0.1733047264727146,-0.14794288305371883,-0.21078637310809573,-0.26333796153697586,-0.2296417481753735,-0.29037487197050177
Word2vec 500 tfidf,5,tfidf,True,True,True,-0.20259853004181544,-0.2561208692421091,-0.2136299257898832,-0.07538114174233392,-0.12106852270614456,-0.04392716641074206
Roberta 0 cls,5,roberta2,True,True,True,-0.21210151095088628,-0.17508425261516736,-0.2652128806328736,-0.26973657231109427,-0.23368670189457647,-0.30789803226031687
Onehot,5,onehot,True,True,True,-0.27325044321395886,-0.20822883955173307,-0.2833859039623997,-0.2811808959676049,-0.20985612079948254,-0.2788982533113279
Word2vec ccca300 tfidf,5,tfidf,True,True,True,-0.3230076085251711,-0.3186505850050516,-0.40888284608832504,-0.32103778439826025,-0.281792918937359,-0.41641989911645294
Word2vec nlpl tfidf,4,tfidf,True,True,True,-0.4050955342907234,-0.442918108708686,-0.4420925370701005,-0.471612556868864,-0.4666506046209989,-0.5320338769899239
Word2vec 1000 mean,4,mean,True,True,True,-0.4033581115013254,-0.30364186883798117,-0.4448921894028114,-0.4736190717713019,-0.38045615948718847,-0.5397255426252417
Word2vec nlpl tfidf,5,tfidf,True,True,True,-0.43875841516816205,-0.4693815838360902,-0.48259416452944454,-0.47136623140163914,-0.46580057481741804,-0.5321586636481938
Word2vec propi mean,4,mean,True,True,True,-0.45767171206445056,-0.4131415428929329,-0.48381810400106645,-0.479939344260485,-0.41741703656654344,-0.5271614241111852
Word2vec 100 mean,5,mean,True,True,True,-0.4498350308413367,-0.408223032709609,-0.508521146367447,-0.4627840594165941,-0.40259923832647276,-0.5456583547061606
Roberta hugging cls,4,roberta-hugging,True,True,True,-0.44847575382290544,-0.4494265071917649,-0.5266564117031294,-0.49955918462432913,-0.47231806712621066,-0.568775552485331
Roberta hugging cls,5,roberta-hugging,True,True,True,-0.4621983739817025,-0.4652516418139547,-0.5380122063351462,-0.5005190291394559,-0.47237761060048994,-0.5655987074209394
Roberta finetuned pipe,8,pipe,True,True,True,0.9474290525726241,0.7522604466926754,0.781988582023819,0.9614333116067086,0.7319414248170184,0.7993360636317496
Roberta own finetuning,8,notebook,True,True,True,0.9350,0.7185,0.7429,0.9899,0.7312,0.7714
MPnet own finetuning,8,notebook,True,True,True,0.9370,0.5856,0.6501,0.9918,0.5855,0.6820
