Model,Exec model,Mode,Pretrained,CLS,Trained,Train pearson,Val pearson,Test pearson
Initialized ccca300 notrain,3,embeddings,True,True,False,0.35415836470562684,0.3769299294998074,0.31223655018385477
Word2vec nlpl mean,0,mean,True,True,True,0.37384873317955664,0.19695482934376785,0.3110968909941543
Initialized ccca300,0,embeddings,True,True,True,0.865751980105181,0.24464760481240788,0.3091216212649217
Word2vec propi mean,3,mean,True,True,True,0.3018052802993242,0.19083134379423078,0.3079078838284841
Word2vec propi tfidf,3,tfidf,True,True,True,0.31407573887173557,0.16476465521925443,0.30556148118618676
Spacy md,3,spacy,True,True,True,0.5985334473480199,0.2647874857675218,0.3037694751145794
Onehot,2,onehot,True,True,True,0.7859449216186798,0.2695645084624009,0.3031362465100106
Random,0,embeddings,False,True,True,0.7543568386344045,0.13195536525020862,0.3003892641913021
Roberta mean,3,roberta,True,False,True,0.3770502037087541,0.17148944418654136,0.2991121683181474
Initialized w2v propi notrain,3,embeddings,True,True,False,0.352986980559503,0.2555921545903179,0.29156889539358843
Word2vec propi mean,0,mean,True,True,True,0.3272777625200379,0.21279607539927142,0.2859301443486577
Initialized w2v propi,2,embeddings,True,True,True,0.7548106258612137,0.21338987566127793,0.2852592313737996
Word2vec ccca300 mean,3,mean,True,True,True,0.22833501904285042,0.1936365573829337,0.2823206610016114
Initialized ccca300,2,embeddings,True,True,True,0.9203237138358696,0.21806666389439083,0.281450959951563
Initialized w2v propi,3,embeddings,True,True,True,0.8772143031531026,0.275849611167556,0.2781143929641954
Roberta mean,0,roberta,True,False,True,0.3706784086499382,0.19562858163513303,0.26931265130932214
Spacy md,0,spacy,True,True,True,0.6234230094729036,0.17011454292352662,0.26526218559934023
Onehot,3,onehot,True,True,True,0.8551001202212727,0.2288283827663414,0.2641274972912091
Word2vec propi tfidf,0,tfidf,True,True,True,0.3133359036080794,0.151092053379291,0.2581890918811771
Spacy md,4,spacy,True,True,True,0.14517451399114806,0.12056266426606191,0.2515315470656945
Word2vec ccca300 tfidf,4,tfidf,True,True,True,0.24615307428836583,0.27380929037776613,0.24091148003739576
Random notrain,5,embeddings,False,True,False,0.44228301012658483,0.2349745817483207,0.2223539473737859
Word2vec ccca300 mean,4,mean,True,True,True,0.20997309511617365,0.16587184622507006,0.21173152131015072
Random notrain,2,embeddings,False,True,False,0.7632179922343072,0.11102791576370033,0.21087823021970772
Initialized w2v propi,Baseline,embeddings,True,True,True,0.17008905266923566,0.20186650376345033,0.2054049066530338
Initialized ccca300 notrain,Baseline,embeddings,True,True,False,0.17008905266923566,0.20186650376345033,0.2054049066530338
Initialized w2v propi notrain,Baseline,embeddings,True,True,False,0.17008905266923566,0.20186650376345033,0.2054049066530338
Initialized ccca300,Baseline,embeddings,True,True,True,0.17008905266923566,0.20186650376345033,0.2054049066530338
Random,Baseline,embeddings,False,True,True,0.17008905266923566,0.20186650376345033,0.2054049066530338
Random notrain,Baseline,embeddings,False,True,False,0.17008905266923566,0.20186650376345033,0.2054049066530338
Onehot,0,onehot,True,True,True,0.8155823735439103,0.14072102736252232,0.2006824800411505
Random,5,embeddings,False,True,True,0.4585777220710202,0.11156366228780644,0.1743828468745773
Word2vec ccca300 mean,5,mean,True,True,True,0.23676814281408814,0.158444413512499,0.1713701714181719
Initialized w2v propi,5,embeddings,True,True,True,0.2581899414446015,0.21794368664923827,0.16645506377348077
Roberta cls,3,roberta,True,True,True,0.39910858437125923,0.09516238183090278,0.15934745376077422
Random,4,embeddings,False,True,True,0.4178104486176608,0.1895280279756191,0.15166169138771204
Initialized ccca300,4,embeddings,True,True,True,0.4191447578002404,0.1229948003798402,0.14761529137324436
Roberta cls,0,roberta,True,True,True,0.4014346929650723,0.12464893435405847,0.14521674255348505
Random notrain,0,embeddings,False,True,False,0.7334940764856055,0.11865634781301086,0.13718516668053754
Random,2,embeddings,False,True,True,0.8280324175461655,0.16438701919648663,0.13444546806662094
Initialized w2v propi notrain,5,embeddings,True,True,False,0.10952506296972364,0.10816601699327458,0.13427569246523696
Initialized w2v propi,4,embeddings,True,True,True,0.32355826259924814,0.18388520998469784,0.12982532186990609
Roberta cls,Baseline,roberta,True,True,True,0.10234215335571956,0.06547463303299667,0.12562585230429923
Roberta cls,2,roberta,True,True,True,0.2805348986148634,0.1355220974780763,0.10756149234808855
Roberta cls,4,roberta,True,True,True,0.08233358045430042,0.1276074688223391,0.08535819384995563
Random notrain,4,embeddings,False,True,False,0.04851030735890392,0.017243140157697272,0.0789388016043034
Initialized ccca300,5,embeddings,True,True,True,0.33136479377434935,0.15518860385825256,0.0725549558986241
Initialized ccca300 notrain,5,embeddings,True,True,False,0.12328299262473111,0.12597946781977293,0.06922923014638287
Initialized ccca300 notrain,4,embeddings,True,True,False,0.07658179009472148,0.12508547615552532,0.05189432162120589
Initialized w2v propi notrain,4,embeddings,True,True,False,0.08160810833461567,0.10143926801821285,0.023422697294668733
Word2vec propi mean,5,mean,True,True,True,-0.016946388849220843,0.05748352246637812,0.007950280173335544
Roberta cls,5,roberta,True,True,True,-0.05313010704204507,-0.04507460526233473,-0.01705491726929001
Word2vec propi mean,4,mean,True,True,True,-0.3766746998641796,-0.3363650496711455,-0.40002801935003895
